batter,runs_scored,balls_faced,matches_played,strike_rate,batting_score,cluster
V Kohli,8671,6702,259,129.37928976424948,6121.47585795285,2
Rg Sharma,7048,5475,266,128.73059360730593,4985.946118721461,2
S Dhawan,6769,5483,221,123.45431333211745,4785.090862666423,2
Da Warner,6567,4849,184,135.4299855640338,4642.385997112806,2
Sk Raina,5536,4177,200,132.53531242518554,3921.707062485037,2
Ms Dhoni,5439,4101,241,132.626188734455,3857.9252377468906,2
Kl Rahul,5235,3947,135,132.63237902204204,3704.526475804408,2
Ab De Villiers,5181,3487,170,148.58044164037855,3673.4160883280756,2
Am Rahane,5032,4133,183,121.75175417372368,3565.0503508347447,2
Ch Gayle,4997,3516,141,142.1217292377702,3540.4243458475535,2
Rv Uthappa,4954,3927,197,126.15227909345556,3512.7304558186906,2
Kd Karthik,4843,3687,233,131.35340385136968,3439.670680770274,2
F Du Plessis,4773,3605,147,132.39944521497918,3382.2798890429954,2
Sv Samson,4704,3475,171,135.36690647482015,3336.9733812949635,2
At Rayudu,4348,3490,185,124.58452722063038,3087.0169054441258,2
Sa Yadav,4311,2961,151,145.59270516717325,3061.9185410334344,2
G Gambhir,4217,3524,151,119.66515323496027,2990.9330306469915,2
Jc Buttler,4121,2856,119,144.29271708683473,2925.458543417367,2
Mk Pandey,3951,3355,161,117.7645305514158,2805.3529061102827,2
Sr Watson,3880,2892,141,134.1632088520055,2756.932641770401,2
Shubman Gill,3866,2867,114,134.84478549005928,2744.5689570980117,2
Ss Iyer,3735,2905,131,128.57142857142858,2653.3142857142857,2
Rr Pant,3566,2504,123,142.41214057507986,2536.982428115016,1
Ka Pollard,3437,2447,168,140.45770331017573,2450.791540662035,2
Q De Kock,3312,2533,115,130.754046585077,2356.050809317015,1
Ra Jadeja,3260,2607,194,125.04794783275797,2326.409589566552,2
Yk Pathan,3222,2334,153,138.04627249357327,2298.3092544987144,1
Da Miller,3077,2295,133,134.07407407407408,2194.0148148148146,1
Ishan Kishan,2998,2237,112,134.01877514528385,2136.6037550290566,1
Wp Saha,2934,2368,143,123.90202702702702,2092.8804054054053,1
Bb Mccullum,2882,2272,109,126.84859154929578,2053.669718309859,1
N Rana,2853,2156,112,132.32838589981446,2034.765677179963,1
Pa Patel,2848,2442,136,116.62571662571663,2030.525143325143,1
Gj Maxwell,2820,1896,134,148.73417721518987,2017.1468354430378,1
Ma Agarwal,2764,2146,125,128.7977632805219,1973.0595526561044,1
Hh Pandya,2758,1962,140,140.57084607543325,1972.7141692150865,1
Yuvraj Singh,2754,2207,126,124.78477571363842,1965.3569551427277,1
V Sehwag,2728,1833,104,148.82705946535734,1949.7654118930714,1
Ad Russell,2655,1626,114,163.28413284132841,1902.5568265682655,1
M Vijay,2619,2208,105,118.61413043478262,1867.5228260869565,1
Rd Gaikwad,2502,1863,70,134.29951690821255,1785.2599033816423,1
Spd Smith,2495,1999,93,124.81240620310155,1780.7624812406202,1
Se Marsh,2489,1913,69,130.10977522216413,1775.221955044433,1
Jh Kallis,2427,2291,95,105.93627237014405,1729.5872544740287,1
Dr Smith,2385,1803,88,132.27953410981698,1704.7559068219634,1
Sr Tendulkar,2334,2044,78,114.18786692759295,1664.4375733855186,1
N Pooran,2293,1433,86,160.0139567341242,1645.7027913468246,1
Ra Tripathi,2291,1707,98,134.21206795547744,1640.3424135910952,1
R Dravid,2174,1918,82,113.34723670490095,1552.6694473409802,1
Ybk Jaiswal,2166,1454,66,148.96836313617607,1552.593672627235,1
Ks Williamson,2132,1734,76,122.95271049596307,1524.5905420991924,1
Aj Finch,2092,1696,90,123.34905660377358,1498.0698113207545,1
Ac Gilchrist,2069,1555,80,133.05466237942122,1482.9109324758842,1
Mp Stoinis,2026,1457,99,139.0528483184626,1455.9105696636925,1
Jp Duminy,2029,1680,75,120.77380952380952,1451.9547619047619,1
