batter,run_stddev
A Ashish Reddy,0.0
Pp Shaw,0.0
Pr Shah,0.0
Prince Yadav,0.0
Priyansh Arya,0.0
Pv Tambe,0.0
Pvd Chameera,0.0
Pp Ojha,0.0
Pwh De Silva,0.0
R Ashwin,0.0
R Bhatia,0.0
R Bishnoi,0.0
R Dhawan,0.0
R Dravid,0.0
R Mclaren,0.0
Q De Kock,0.0
Pp Chawla,0.0
Pn Mankad,0.0
Pk Garg,0.0
P Negi,0.0
P Parameswaran,0.0
P Sahu,0.0
P Simran Singh,0.0
Pa Patel,0.0
Pa Reddy,0.0
Pankaj Singh,0.0
Parvez Rasool,0.0
Pbb Rajapaksa,0.0
Pc Valthaty,0.0
Pd Collingwood,0.0
Pd Salt,0.0
Phkd Mendis,0.0
Pj Cummins,0.0
Pj Sangwan,0.0
R Minz,0.0
R Parag,0.0
R Powell,0.0
R Rampaul,0.0
Re Levi,0.0
Re Van Der Merwe,0.0
Rg Sharma,0.0
Rj Harris,0.0
Rj Peterson,0.0
Rj Quiney,0.0
Rk Bhui,0.0
Rk Singh,0.0
Rm Patidar,0.0
Rn Ten Doeschate,0.0
Rp Meredith,0.0
Rp Singh,0.0
Rr Pant,0.0
Rr Powar,0.0
Rr Raje,0.0
Rd Rickelton,0.0
P Kumar,0.0
Rd Gaikwad,0.0
Ravi Bishnoi,0.0
R Ravindra,0.0
R Sai Kishore,0.0
R Sathish,0.0
R Sharma,0.0
R Shepherd,0.0
R Shukla,0.0
R Tewatia,0.0
R Vinay Kumar,0.0
Ra Bawa,0.0
Ra Jadeja,0.0
Ra Tripathi,0.0
Rahmanullah Gurbaz,0.0
Ramandeep Singh,0.0
Rashid Khan,0.0
Rasikh Salam,0.0
Rd Chahar,0.0
Rr Rossouw,0.0
P Dubey,0.0
P Awana,0.0
Mj Clarke,0.0
Mj Guptill,0.0
Mj Lumb,0.0
Mj Mcclenaghan,0.0
Mj Santner,0.0
Mk Lomror,0.0
Misbah-Ul-Haq,0.0
Mk Pandey,0.0
Ml Hayden,0.0
Mm Ali,0.0
Mm Patel,0.0
Mm Sharma,0.0
Mn Samuels,0.0
Mn Van Wyk,0.0
Mk Tiwary,0.0
Mg Johnson,0.0
Mg Bracewell,0.0
Mf Maharoof,0.0
M Shahrukh Khan,0.0
M Theekshana,0.0
M Vijay,0.0
M Vohra,0.0
Ma Agarwal,0.0
Ma Khote,0.0
Ma Starc,0.0
Ma Wood,0.0
Mandeep Singh,0.0
Mc Henriques,0.0
Mc Juneja,0.0
Md Mishra,0.0
Md Shanaka,0.0
Mdkj Perera,0.0
Mek Hussey,0.0
Mohammad Asif,0.0
Mohammad Hafeez,0.0
Mohammad Nabi,0.0
Mohammed Shami,0.0
Naman Dhir,0.0
Navdeep Saini,0.0
Naveen-Ul-Haq,0.0
Nithish Kumar Reddy,0.0
Nj Maddinson,0.0
Nk Patel,0.0
Nl Mccullum,0.0
Nltc Perera,0.0
Nm Coulter-Nile,0.0
Noor Ahmad,0.0
Ns Naik,0.0
Nt Ellis,0.0
Nv Ojha,0.0
Oa Shah,0.0
Of Smith,0.0
N Wadhera,0.0
P Dogra,0.0
N Saini,0.0
N Pooran,0.0
Mohammed Siraj,0.0
Mohsin Khan,0.0
Mp Stoinis,0.0
Mr Marsh,0.0
Ms Bisla,0.0
Ms Dhoni,0.0
Ms Gony,0.0
Ms Wade,0.0
Mujeeb Ur Rahman,0.0
Mukesh Choudhary,0.0
Mukesh Kumar,0.0
Mustafizur Rahman,0.0
Mv Boucher,0.0
Mw Short,0.0
N Jagadeesan,0.0
N Rana,0.0
Rr Sarwan,0.0
Rs Bopara,0.0
Rt Ponting,0.0
Td Paine,0.0
Tg Southee,0.0
Th David,0.0
Tilak Varma,0.0
Tk Curran,0.0
Tl Seifert,0.0
Ta Boult,0.0
Tl Suman,0.0
Tm Head,0.0
Tm Srivastava,0.0
Tr Birt,0.0
Ts Mills,0.0
Tu Deshpande,0.0
Ubt Chand,0.0
Tm Dilshan,0.0
T Thushara,0.0
T Taibu,0.0
T Stubbs,0.0
Ss Tiwary,0.0
St Jayasuriya,0.0
Str Binny,0.0
Sumit Kumar,0.0
Sunny Singh,0.0
Suryansh Shedge,0.0
Sv Samson,0.0
Sw Billings,0.0
Sw Tait,0.0
Swapnil Singh,0.0
T Banton,0.0
T Henderson,0.0
T Kohler-Cadmore,0.0
T Kohli,0.0
T Natarajan,0.0
Umar Gul,0.0
Umran Malik,0.0
Urvil Patel,0.0
Ut Khawaja,0.0
Washington Sundar,0.0
Wd Parnell,0.0
Wg Jacks,0.0
Wp Saha,0.0
Wpujc Vaas,0.0
Y Nagar,0.0
Y Venugopal Rao,0.0
Yash Dayal,0.0
Yashpal Singh,0.0
Ybk Jaiswal,0.0
Yk Pathan,0.0
Ys Chahal,0.0
Yudhvir Singh,0.0
Yuvraj Singh,0.0
Yv Dhull,0.0
Wa Mota,0.0
Ss Prabhudessai,0.0
W Jaffer,0.0
Vvs Laxman,0.0
Ut Yadav,0.0
V Kohli,0.0
V Nigam,0.0
V Sehwag,0.0
V Shankar,0.0
V Suryavanshi,0.0
Vg Arora,0.0
Vh Zol,0.0
Vijaykumar Vyshak,0.0
Virat Singh,0.0
Vishnu Vinod,0.0
Vr Aaron,0.0
Vr Iyer,0.0
Vrv Singh,0.0
Vs Malik,0.0
Vy Mahesh,0.0
Ss Iyer,0.0
Sr Watson,0.0
Sr Tendulkar,0.0
S Vidyut,0.0
Sa Abbott,0.0
Sa Asnodkar,0.0
Sa Yadav,0.0
Sachin Baby,0.0
Salman Butt,0.0
Sameer Rizvi,0.0
Sandeep Sharma,0.0
Sanvir Singh,0.0
Saurav Chauhan,0.0
Sb Bangar,0.0
Sb Dubey,0.0
Sb Jakati,0.0
Sb Joshi,0.0
Sb Styris,0.0
S Sriram,0.0
Sb Wagh,0.0
S Sreesanth,0.0
S Rana,0.0
Rv Gomez,0.0
Rv Patel,0.0
Rv Uthappa,0.0
S Anirudha,0.0
S Aravind,0.0
S Badree,0.0
S Badrinath,0.0
S Chanderpaul,0.0
S Dhawan,0.0
S Dube,0.0
S Gopal,0.0
S Kaul,0.0
S Ladda,0.0
S Nadeem,0.0
S Narwal,0.0
S Sohal,0.0
M Rawat,0.0
Sc Ganguly,0.0
Sd Hope,0.0
Sl Malinga,0.0
Sm Curran,0.0
Sm Harwood,0.0
Sm Katich,0.0
Sm Pollock,0.0
Smsm Senanayake,0.0
Sn Khan,0.0
Sn Thakur,0.0
So Hetmyer,0.0
Sohail Tanvir,0.0
Sp Fleming,0.0
Sp Goswami,0.0
Sp Jackson,0.0
Sp Narine,0.0
Spd Smith,0.0
Sk Warne,0.0
Sd Chitnis,0.0
Sk Trivedi,0.0
Sk Raina,0.0
Se Marsh,0.0
Se Rutherford,0.0
Sh Johnson,0.0
Shahbaz Ahmed,0.0
Shahid Afridi,0.0
Shakib Al Hasan,0.0
Shashank Singh,0.0
Shivam Mavi,0.0
Shivam Sharma,0.0
Shoaib Ahmed,0.0
Shoaib Malik,0.0
Shubman Gill,0.0
Sikandar Raza,0.0
Simarjeet Singh,0.0
Sj Srivastava,0.0
Sk Rasheed,0.0
Yv Takawale,0.0
M Prasidh Krishna,0.0
M Muralitharan,0.0
Bb Mccullum,0.0
Bb Samantray,0.0
Bb Sran,0.0
Bcj Cutting,0.0
Be Hendricks,0.0
Bipul Sharma,0.0
Baw Mendis,0.0
Bj Hodge,0.0
Bmaj Mendis,0.0
Br Dunk,0.0
C Bosch,0.0
C De Grandhomme,0.0
C Green,0.0
C Munro,0.0
Bj Rohrer,0.0
Basil Thampi,0.0
Ba Stokes,0.0
Ba Bhatt,0.0
At Rayudu,0.0
Atharva Taide,0.0
Au Rashid,0.0
Auk Pathan,0.0
Avesh Khan,0.0
Azhar Mahmood,0.0
Azmatullah Omarzai,0.0
B Akhil,0.0
B Chipli,0.0
B Indrajith,0.0
B Kumar,0.0
B Laughlin,0.0
B Lee,0.0
B Sai Sudharsan,0.0
B Sumanth,0.0
C Sakariya,0.0
Ca Ingram,0.0
Ca Lynn,0.0
Ca Pujara,0.0
Da Miller,0.0
Da Warner,0.0
