bowler,balls_bowled,wickets_taken,runs_conceded,matches_played,wickets_per_match,economy,bowling_score
Ac Gilchrist,1,1,0,1,1.0,0.0,200000.80000000002
Ys Chahal,3905,229,5112,172,1.3313953488372092,7.8545454545454545,137.6917420294886
B Kumar,4378,213,5541,190,1.1210526315789473,7.59387848332572,128.05054752579534
Sp Narine,4421,212,5029,187,1.1336898395721926,6.825152680389052,127.4560413373865
Dj Bravo,3296,207,4436,158,1.3101265822784811,8.075242718446601,124.48679237079772
R Ashwin,4868,205,5721,217,0.9447004608294931,7.0513557929334425,123.21730342788597
Jj Bumrah,3474,203,4162,145,1.4,7.1882556131260795,122.10782315807073
Pp Chawla,3895,201,5179,191,1.0523560209424083,7.977920410783056,120.83554039072241
Sl Malinga,2974,188,3486,122,1.540983606557377,7.032952252858103,113.13663427703086
A Mishra,3444,183,4193,162,1.1296296296296295,7.304878048780488,110.05330488711945
Ra Jadeja,4127,179,5242,225,0.7955555555555556,7.6210322267991275,107.58535427185429
Hv Patel,2570,168,3649,116,1.4482758620689655,8.519066147859922,101.11313192127945
Rashid Khan,3237,166,3863,136,1.2205882352941178,7.160333642261353,99.87204930249005
Sandeep Sharma,3168,163,4134,136,1.1985294117647058,7.829545454545454,98.06525014614408
Ut Yadav,3190,163,4442,147,1.1088435374149659,8.354858934169279,98.04570687060911
Harbhajan Singh,3496,161,4101,160,1.00625,7.0383295194508015,96.82966582949923
Ta Boult,2785,151,3806,119,1.26890756302521,8.199640933572711,90.87817282159392
Mohammed Shami,2708,150,3834,119,1.2605042016806722,8.49483013293944,90.27564456908955
Mm Sharma,2471,149,3537,119,1.2521008403361344,8.588425738567382,89.67370732019508
Ar Patel,3371,137,4138,160,0.85625,7.365173539009196,82.39840482151044
Ad Russell,1885,133,2909,121,1.0991735537190082,9.25941644562334,80.04143434173295
K Rabada,1995,128,2816,84,1.5238095238095237,8.469172932330826,77.12837695879173
R Vinay Kumar,2186,127,3041,104,1.2211538461538463,8.346752058554438,76.46819218256084
A Nehra,1974,121,2537,88,1.375,7.711246200607903,72.9009361416898
Jd Unadkat,2340,121,3396,111,1.09009009009009,8.707692307692307,72.84098621326018
Z Khan,2276,119,2860,99,1.202020202020202,7.539543057996485,71.66693084341249
Sn Thakur,2205,115,3284,102,1.1274509803921569,8.936054421768707,69.24787143596116
Mohammed Siraj,2448,112,3434,108,1.037037037037037,8.416666666666666,67.43116978082178
Ch Morris,1801,107,2377,81,1.3209876543209877,7.91893392559689,64.48945345251012
Sr Watson,2137,107,2742,105,1.019047619047619,7.698642957416939,64.42978812486008
Arshdeep Singh,1820,106,2624,81,1.308641975308642,8.650549450549452,63.88484831108826
Kuldeep Yadav,2110,106,2805,96,1.1041666666666667,7.976303317535544,63.845907602322825
Dw Steyn,2282,105,2583,95,1.105263157894737,6.791411042944786,63.25050158839902
Cv Varun,1932,102,2432,83,1.2289156626506024,7.552795031055901,61.47226339218199
P Kumar,2637,102,3342,119,0.8571428571428571,7.604095563139932,61.397730183768616
Rp Singh,1874,100,2417,82,1.2195121951219512,7.738527214514408,60.26974714675898
I Sharma,2546,100,3465,117,0.8547008547008547,8.165750196386488,60.195432712433295
Pp Ojha,1945,99,2399,90,1.1,7.40051413881748,59.64702514571599
Ik Pathan,2113,99,2711,101,0.9801980198019802,7.698059630856601,59.62202017355975
Kh Pandya,2466,97,3024,132,0.7348484848484849,7.357664233576642,58.37415223295778
Ja Morkel,1807,96,2409,87,1.103448275862069,7.998893193137797,57.845693111296576
Kk Ahmed,1635,94,2372,71,1.323943661971831,8.704587155963303,56.68776512098582
Avesh Khan,1684,94,2497,75,1.2533333333333334,8.89667458432304,56.67314697384482
Ds Kulkarni,1876,91,2513,92,0.9891304347826086,8.03731343283582,54.82271002072213
Dl Chahar,2009,91,2621,95,0.9578947368421052,7.827775012444002,54.81712898861667
Kv Sharma,1611,89,2263,87,1.0229885057471264,8.42830540037244,53.62832726086158
M Morkel,1699,88,2136,70,1.2571428571428571,7.543260741612713,53.07794230074764
Imran Tahir,1340,86,1729,59,1.4576271186440677,7.741791044776119,51.91735923569939
L Balaji,1574,85,2083,73,1.1643835616438356,7.940279542566709,51.2580647392414
Hh Pandya,1714,84,2541,107,0.7850467289719626,8.894982497082847,50.57949392938756
Mm Patel,1382,82,1733,63,1.3015873015873016,7.523878437047757,49.48689949179116
Pj Cummins,1682,82,2436,72,1.1388888888888888,8.689655172413794,49.450793648144995
Ab Dinda,1589,82,2103,75,1.0933333333333333,7.940843297671492,49.44385290537161
R Bhatia,1661,82,2059,91,0.9010989010989011,7.437688139674895,49.40710985269311
Ka Pollard,1586,81,2200,107,0.7570093457943925,8.32282471626734,48.77543216930191
M Prasidh Krishna,1595,80,2247,66,1.2121212121212122,8.452664576802508,48.26608541749177
Ma Starc,1124,78,1588,50,1.56,8.476868327402135,47.13559361602442
T Natarajan,1426,77,2054,63,1.2222222222222223,8.642356241234221,46.467586278832606
Ravi Bishnoi,1693,77,2263,76,1.013157894736842,8.020082693443591,46.42756897457124
Jp Faulkner,1287,76,1849,60,1.2666666666666666,8.62004662004662,45.87653506130695
Rd Chahar,1703,76,2174,78,0.9743589743589743,7.6594245449207286,45.82098341366449
Mj Mcclenaghan,1346,75,1839,56,1.3392857142857142,8.197622585438335,45.29225445726364
Mustafizur Rahman,1419,74,1879,60,1.2333333333333334,7.945031712473573,44.67183962784102
Jh Kallis,1799,74,2348,89,0.8314606741573034,7.8310172317954425,44.591831597782516
Sk Trivedi,1557,73,1944,75,0.9733333333333334,7.491329479768786,44.021364193967074
Shakib Al Hasan,1515,71,1864,70,1.0142857142857142,7.3821782178217825,42.8299494138653
M Muralitharan,1581,67,1765,66,1.0151515151515151,6.698292220113852,40.4328886555132
Mg Johnson,1301,66,1740,54,1.2222222222222223,8.024596464258263,39.869367812986084
A Nortje,1142,63,1701,48,1.3125,8.936952714535902,38.084878990245265
Lh Ferguson,1078,63,1558,49,1.2857142857142858,8.67161410018553,38.08020661143653
S Kaul,1238,63,1772,55,1.1454545454545455,8.588045234248789,38.052379092985674
Sm Curran,1308,63,2059,63,1.0,9.444954128440367,38.02117532558707
Jc Archer,1279,61,1655,52,1.1730769230769231,7.763878029710712,36.8603757035532
Sk Warne,1223,60,1465,54,1.1111111111111112,7.187244480784955,36.25004929457347
Jo Holder,1049,59,1489,46,1.2826086956521738,8.516682554814109,35.68000505851324
Jr Hazlewood,892,58,1219,39,1.4871794871794872,8.199551569506728,35.12182747225716
Tg Southee,1262,57,1774,54,1.0555555555555556,8.434231378763867,34.434823998190616
Tu Deshpande,1043,55,1617,46,1.1956521739130435,9.302013422818792,33.26063115397193
S Nadeem,1444,54,1800,70,0.7714285714285715,7.4792243767313025,32.581026451451116
M Pathirana,787,53,1047,32,1.65625,7.982210927573063,32.15630571160158
S Gopal,1000,53,1358,51,1.0392156862745099,8.148,32.03238903507695
Nm Coulter-Nile,892,52,1125,38,1.368421052631579,7.567264573991032,31.500113836663317
Sb Jakati,1101,50,1474,57,0.8771929824561403,8.032697547683924,30.200336829483884
A Kumble,983,49,1089,42,1.1666666666666667,6.646998982706002,29.663422095259065
Aj Tye,714,48,1005,30,1.6,8.445378151260504,29.143681589235708
Noor Ahmad,827,48,1088,37,1.2972972972972974,7.893591293833131,29.084796466053557
S Aravind,788,48,1057,38,1.263157894736842,8.048223350253807,29.07748178084236
Rj Harris,865,47,1085,37,1.2702702702702702,7.526011560693642,28.480628551291083
Pwh De Silva,808,47,1134,37,1.2702702702702702,8.42079207920792,28.477804786095415
Vr Aaron,1065,46,1527,50,0.92,8.60281690140845,27.807248196380776
Mm Ali,869,46,1036,57,0.8070175438596491,7.153049482163405,27.789363607823194
Mc Henriques,979,46,1302,60,0.7666666666666667,7.9795709908069465,27.77839733428857
Mp Stoinis,922,46,1477,71,0.647887323943662,9.6117136659436,27.75038540665457
Yk Pathan,1184,46,1443,82,0.5609756097560976,7.3125,27.739545545561416
Mukesh Kumar,675,45,1118,32,1.40625,9.937777777777777,27.301375221588472
Yash Dayal,920,45,1412,43,1.0465116279069768,9.208695652173912,27.231020925678052
Iqbal Abdulla,943,45,1125,48,0.9375,7.158006362672323,27.215440736837316
Gj Maxwell,1047,45,1422,85,0.5294117647058824,8.148997134670488,27.130425247257115
Pj Sangwan,905,44,1267,42,1.0476190476190477,8.4,26.633333330498864
De Bollinger,600,43,716,27,1.5925925925925926,7.16,26.146451475511125
P Awana,774,43,1046,33,1.303030303030303,8.108527131782946,26.08527144953356
S Sreesanth,947,43,1221,44,0.9772727272727273,7.736008447729672,26.02130766796575
Harshit Rana,679,42,1047,32,1.3125,9.251840942562591,25.484117316988513
R Sharma,935,42,1100,44,0.9545454545454546,7.0588235294117645,25.419242420228535
Washington Sundar,1131,41,1447,63,0.6507936507936508,7.676392572944297,24.756212631394966
Wd Parnell,758,40,968,33,1.2121212121212122,7.6622691292875995,24.268526167392345
Dt Christian,922,40,1218,49,0.8163265306122449,7.926247288503254,24.188497924723368
Vg Arora,690,39,1029,32,1.21875,8.947826086956521,23.666101795363986
Ms Gony,925,39,1317,44,0.8863636363636364,8.542702702702703,23.600684519014575
M Kartik,1182,39,1418,55,0.7090909090909091,7.197969543147208,23.569603791498174
Yuvraj Singh,882,39,1091,73,0.5342465753424658,7.421768707482993,23.53379706579139
Dp Nannes,689,38,815,29,1.3103448275862069,7.097242380261249,23.090248920646896
M Jansen,787,38,1180,35,1.0857142857142856,8.996188055908513,23.03937449308971
P Negi,733,38,954,42,0.9047619047619048,7.80900409276944,23.006563838189766
