team,matches_played,wins,power_score
Mumbai Indians,277,151,188.79999999999998
Chennai Super Kings,252,142,175.0
Kolkata Knight Riders,264,135,173.7
Royal Challengers Bangalore,240,114,151.8
Rajasthan Royals,235,114,150.3
Sunrisers Hyderabad,196,93,123.89999999999999
Delhi Daredevils,161,67,95.19999999999999
Delhi Capitals,106,51,67.5
Kings Xi Punjab,190,0,57.0
Punjab Kings,74,34,46.0
Gujarat Titans,60,37,43.9
Deccan Chargers,75,29,42.8
Lucknow Super Giants,58,30,38.4
Pune Warriors,46,12,22.199999999999996
Royal Challengers Bengaluru,30,18,21.6
Gujarat Lions,30,13,18.1
Rising Pune Supergiant,16,10,11.8
Kochi Tuskers Kerala,14,6,8.399999999999999
Rising Pune Supergiants,14,5,7.7
