batter,runs_scored,balls_faced,matches_played
V Kohli,8671,6702,259
Rg Sharma,7048,5475,266
S Dhawan,6769,5483,221
Da Warner,6567,4849,184
Sk Raina,5536,4177,200
Ms Dhoni,5439,4101,241
Kl Rahul,5235,3947,135
Ab De Villiers,5181,3487,170
Am Rahane,5032,4133,183
Ch Gayle,4997,3516,141
Rv Uthappa,4954,3927,197
Kd Karthik,4843,3687,233
F Du Plessis,4773,3605,147
Sv Samson,4704,3475,171
At Rayudu,4348,3490,185
Sa Yadav,4311,2961,151
G Gambhir,4217,3524,151
Jc Buttler,4121,2856,119
Mk Pandey,3951,3355,161
Sr Watson,3880,2892,141
Shubman Gill,3866,2867,114
Ss Iyer,3735,2905,131
Rr Pant,3566,2504,123
Ka Pollard,3437,2447,168
Q De Kock,3312,2533,115
Ra Jadeja,3260,2607,194
Yk Pathan,3222,2334,153
Da Miller,3077,2295,133
Ishan Kishan,2998,2237,112
Wp Saha,2934,2368,143
Bb Mccullum,2882,2272,109
N Rana,2853,2156,112
Pa Patel,2848,2442,136
Gj Maxwell,2820,1896,134
Ma Agarwal,2764,2146,125
Hh Pandya,2758,1962,140
Yuvraj Singh,2754,2207,126
V Sehwag,2728,1833,104
Ad Russell,2655,1626,114
M Vijay,2619,2208,105
Rd Gaikwad,2502,1863,70
Spd Smith,2495,1999,93
Se Marsh,2489,1913,69
Jh Kallis,2427,2291,95
Dr Smith,2385,1803,88
Sr Tendulkar,2334,2044,78
N Pooran,2293,1433,86
Ra Tripathi,2291,1707,98
R Dravid,2174,1918,82
Ybk Jaiswal,2166,1454,66
Ks Williamson,2132,1734,76
Aj Finch,2092,1696,90
Ac Gilchrist,2069,1555,80
Jp Duminy,2029,1680,75
Mp Stoinis,2026,1457,99
Mek Hussey,1977,1648,58
Ar Patel,1916,1489,123
Pp Shaw,1892,1321,79
S Dube,1859,1366,75
Abhishek Sharma,1816,1167,74
Dpmd Jayawardene,1808,1522,78
D Padikkal,1806,1496,74
B Sai Sudharsan,1793,1279,40
Sp Narine,1780,1144,118
Kh Pandya,1756,1376,114
Mandeep Singh,1706,1418,97
Mk Tiwary,1695,1489,83
Kk Nair,1694,1314,76
Kc Sangakkara,1687,1424,68
Jm Bairstow,1674,1181,52
R Parag,1570,1156,72
Dj Bravo,1560,1247,110
Nv Ojha,1554,1360,94
Tilak Varma,1499,1089,51
Dj Hooda,1497,1213,101
Ss Tiwary,1494,1291,73
So Hetmyer,1488,1036,78
H Klaasen,1480,907,45
Vr Iyer,1468,1107,56
S Badrinath,1441,1245,65
Ak Markram,1440,1093,55
Ejg Morgan,1406,1181,74
Bj Hodge,1400,1153,63
P Simran Singh,1355,904,52
Sc Ganguly,1349,1326,56
Ca Lynn,1329,974,42
Dj Hussey,1322,1101,61
Mr Marsh,1292,933,49
V Shankar,1233,985,63
Km Jadhav,1208,1012,81
Mm Ali,1167,865,59
Tm Dilshan,1153,1047,50
Ik Pathan,1150,985,82
Tm Head,1146,706,37
R Tewatia,1112,851,76
Rm Patidar,1111,759,38
Ml Hayden,1107,839,32
Rk Singh,1099,793,51
M Vohra,1083,863,51
Dp Conway,1080,794,28
Lmp Simmons,1079,878,29
Pd Salt,1056,623,34
Ls Livingstone,1051,699,47
Lrpl Taylor,1017,847,54
Kp Pietersen,1001,758,36
Mc Henriques,1000,801,54
Sm Curran,997,761,53
Jm Sharma,991,656,47
Y Venugopal Rao,985,865,52
Ja Morkel,975,712,67
A Symonds,974,781,36
Cl White,971,774,45
A Badoni,963,740,46
Ba Stokes,935,718,43
Hh Gibbs,886,837,36
Str Binny,880,700,66
Th David,846,524,44
R Ashwin,833,728,93
Harbhajan Singh,833,636,88
Ms Bisla,798,737,39
Shakib Al Hasan,795,665,52
Shashank Singh,773,510,33
St Jayasuriya,768,573,30
Abdul Samad,743,506,51
Gc Smith,739,691,29
M Shahrukh Khan,732,517,48
Ad Mathews,724,599,41
N Wadhera,719,522,31
T Stubbs,711,442,30
C Green,707,472,28
Dhruv Jurel,680,456,35
Tl Suman,676,587,39
Am Nayar,672,588,50
Gj Bailey,663,552,36
Abishek Porel,661,454,29
E Lewis,654,499,26
Pp Chawla,624,580,86
Ch Morris,618,413,49
Jj Roy,614,460,21
Pj Cummins,612,417,48
Jd Ryder,604,466,29
Rashid Khan,585,387,66
Sn Khan,585,456,36
Hm Amla,577,418,16
Priyansh Arya,545,310,18
Shahbaz Ahmed,545,475,38
Cj Anderson,538,436,29
Rs Bopara,531,468,22
Jp Faulkner,527,406,45
Mk Lomror,527,389,35
M Manhas,514,486,38
Gurkeerat Singh,511,436,32
Washington Sundar,511,426,43
Oa Shah,506,405,22
Pc Valthaty,505,432,23
Sw Billings,503,399,27
Nithish Kumar Reddy,485,382,22
Rr Rossouw,473,321,22
Wg Jacks,463,306,19
A Raghuvanshi,463,326,18
Dt Christian,460,408,41
D Brevis,455,305,16
Nltc Perera,424,326,30
Sa Asnodkar,423,352,19
Jr Hopes,417,314,19
R Ravindra,413,298,18
J Botha,409,364,28
Lr Shukla,405,358,33
Al Menaria,401,367,23
Se Rutherford,397,310,20
Mv Boucher,394,318,23
Ashutosh Sharma,393,256,18
Naman Dhir,392,226,19
Ca Pujara,390,403,22
Rd Rickelton,388,266,14
Azhar Mahmood,388,311,21
J Fraser-Mcgurk,385,203,15
A Mishra,381,440,55
Kr Mayers,379,276,13
Db Ravi Teja,375,325,25
S Sohal,368,311,20
P Negi,365,301,35
R Powell,365,261,23
Rahmanullah Gurbaz,363,283,18
Kv Sharma,352,307,40
Dj Mitchell,351,274,15
R Bhatia,342,290,47
P Kumar,340,323,57
Ap Tare,339,285,27
Jec Franklin,327,309,16
Rn Ten Doeschate,326,238,21
Sn Thakur,325,243,40
B Kumar,320,364,71
Anuj Rawat,318,276,21
R Vinay Kumar,310,289,42
Lalit Yadav,305,301,21
Db Das,304,267,22
C De Grandhomme,303,229,21
La Pomersbach,302,251,16
Ubt Chand,300,314,20
Djg Sammy,295,251,20
Sp Goswami,293,307,21
A Manohar,292,243,20
Y Nagar,285,271,20
Gh Vihari,284,331,23
Vvs Laxman,282,271,20
A Ashish Reddy,280,196,23
B Chipli,280,256,21
Mj Lumb,278,198,12
Jp Inglis,278,177,11
Pbb Rajapaksa,277,201,13
Pk Garg,273,247,19
Mj Guptill,271,197,13
R Sathish,270,236,24
Hv Patel,270,241,41
Jc Archer,262,183,30
Atharva Taide,260,188,10
Jo Holder,259,217,27
M Kaif,259,258,22
V Suryavanshi,252,129,7
K Gowtham,247,159,27
Harpreet Brar,244,214,26
Sm Katich,241,191,11
A Mhatre,240,131,7
Bcj Cutting,238,146,17
Md Mishra,237,213,17
Aniket Verma,236,148,12
Mohammad Nabi,221,157,19
K Goel,218,239,16
Ramandeep Singh,217,142,20
Aa Jhunjhunwala,217,218,15
K Rabada,215,216,30
R Dhawan,210,188,22
Ut Yadav,208,211,48
Ca Ingram,205,183,15
Pd Collingwood,203,159,7
Kuldeep Yadav,201,240,37
Ks Bharat,199,168,8
Sk Warne,198,219,27
Jd Unadkat,197,170,27
Sp Fleming,196,171,10
As Raut,194,172,16
Salman Butt,193,172,7
Bj Rohrer,193,146,8
Yv Takawale,192,183,10
Hc Brook,190,159,11
Bipul Sharma,187,124,17
R Shepherd,185,93,12
Sd Hope,183,125,9
Fy Fazal,183,179,11
Ms Wade,183,185,14
Sikandar Raza,182,143,9
Cr Brathwaite,181,120,14
Ac Voges,181,143,7
S Gopal,180,173,22
Ab Agarkar,179,160,18
C Munro,177,144,11
Mf Maharoof,177,124,14
Sameer Rizvi,172,126,9
Dh Yagnik,170,142,17
Cm Gautam,169,158,13
Mg Johnson,167,168,28
Mn Van Wyk,167,135,5
Dw Steyn,167,163,33
Pa Reddy,164,167,10
N Jagadeesan,162,155,10
Mn Samuels,161,174,14
R Mclaren,159,178,13
Re Van Der Merwe,159,144,15
D Wiese,148,105,11
Ad Hales,148,119,6
Sm Pollock,147,116,8
S Vidyut,145,115,8
