bowler,balls_bowled,wickets_taken,runs_conceded,matches_played
Ys Chahal,3905,229,5112,172
B Kumar,4378,213,5541,190
Sp Narine,4421,212,5029,187
Dj Bravo,3296,207,4436,158
R Ashwin,4868,205,5721,217
Jj Bumrah,3474,203,4162,145
Pp Chawla,3895,201,5179,191
Sl Malinga,2974,188,3486,122
A Mishra,3444,183,4193,162
Ra Jadeja,4127,179,5242,225
Hv Patel,2570,168,3649,116
Rashid Khan,3237,166,3863,136
Ut Yadav,3190,163,4442,147
Sandeep Sharma,3168,163,4134,136
Harbhajan Singh,3496,161,4101,160
Ta Boult,2785,151,3806,119
Mohammed Shami,2708,150,3834,119
Mm Sharma,2471,149,3537,119
Ar Patel,3371,137,4138,160
Ad Russell,1885,133,2909,121
K Rabada,1995,128,2816,84
R Vinay Kumar,2186,127,3041,104
Jd Unadkat,2340,121,3396,111
A Nehra,1974,121,2537,88
Z Khan,2276,119,2860,99
Sn Thakur,2205,115,3284,102
Mohammed Siraj,2448,112,3434,108
Ch Morris,1801,107,2377,81
Sr Watson,2137,107,2742,105
Arshdeep Singh,1820,106,2624,81
Kuldeep Yadav,2110,106,2805,96
Dw Steyn,2282,105,2583,95
P Kumar,2637,102,3342,119
Cv Varun,1932,102,2432,83
I Sharma,2546,100,3465,117
Rp Singh,1874,100,2417,82
Ik Pathan,2113,99,2711,101
Pp Ojha,1945,99,2399,90
Kh Pandya,2466,97,3024,132
Ja Morkel,1807,96,2409,87
Kk Ahmed,1635,94,2372,71
Avesh Khan,1684,94,2497,75
Ds Kulkarni,1876,91,2513,92
Dl Chahar,2009,91,2621,95
Kv Sharma,1611,89,2263,87
M Morkel,1699,88,2136,70
Imran Tahir,1340,86,1729,59
L Balaji,1574,85,2083,73
Hh Pandya,1714,84,2541,107
Ab Dinda,1589,82,2103,75
R Bhatia,1661,82,2059,91
Pj Cummins,1682,82,2436,72
Mm Patel,1382,82,1733,63
Ka Pollard,1586,81,2200,107
M Prasidh Krishna,1595,80,2247,66
Ma Starc,1124,78,1588,50
T Natarajan,1426,77,2054,63
Ravi Bishnoi,1693,77,2263,76
Rd Chahar,1703,76,2174,78
Jp Faulkner,1287,76,1849,60
Mj Mcclenaghan,1346,75,1839,56
Mustafizur Rahman,1419,74,1879,60
Jh Kallis,1799,74,2348,89
Sk Trivedi,1557,73,1944,75
Shakib Al Hasan,1515,71,1864,70
M Muralitharan,1581,67,1765,66
Mg Johnson,1301,66,1740,54
A Nortje,1142,63,1701,48
Sm Curran,1308,63,2059,63
Lh Ferguson,1078,63,1558,49
S Kaul,1238,63,1772,55
Jc Archer,1279,61,1655,52
Sk Warne,1223,60,1465,54
Jo Holder,1049,59,1489,46
Jr Hazlewood,892,58,1219,39
Tg Southee,1262,57,1774,54
Tu Deshpande,1043,55,1617,46
S Nadeem,1444,54,1800,70
S Gopal,1000,53,1358,51
M Pathirana,787,53,1047,32
Nm Coulter-Nile,892,52,1125,38
Sb Jakati,1101,50,1474,57
A Kumble,983,49,1089,42
Noor Ahmad,827,48,1088,37
Aj Tye,714,48,1005,30
S Aravind,788,48,1057,38
Pwh De Silva,808,47,1134,37
Rj Harris,865,47,1085,37
Mm Ali,869,46,1036,57
Yk Pathan,1184,46,1443,82
Vr Aaron,1065,46,1527,50
Mc Henriques,979,46,1302,60
Mp Stoinis,922,46,1477,71
Gj Maxwell,1047,45,1422,85
Iqbal Abdulla,943,45,1125,48
Mukesh Kumar,675,45,1118,32
Yash Dayal,920,45,1412,43
Pj Sangwan,905,44,1267,42
De Bollinger,600,43,716,27
P Awana,774,43,1046,33
S Sreesanth,947,43,1221,44
R Sharma,935,42,1100,44
Harshit Rana,679,42,1047,32
Washington Sundar,1131,41,1447,63
Wd Parnell,758,40,968,33
Dt Christian,922,40,1218,49
Vg Arora,690,39,1029,32
Yuvraj Singh,882,39,1091,73
Ms Gony,925,39,1317,44
M Kartik,1182,39,1418,55
M Jansen,787,38,1180,35
P Negi,733,38,954,42
Dp Nannes,689,38,815,29
M Markande,737,37,1081,37
Mr Marsh,593,37,803,34
