fielder,dismissals
MS Dhoni,258
KD Karthik,228
RV Uthappa,169
AB de Villiers,148
WP Saha,139
V Kohli,137
SV Samson,130
RA Jadeja,127
SK Raina,119
RG Sharma,112
PA Patel,111
RR Pant,110
KA Pollard,110
S Dhawan,102
Q de Kock,101
NV Ojha,100
KL Rahul,98
MK Pandey,98
DA Warner,97
DA Miller,93
F du Plessis,91
AC Gilchrist,87
AM Rahane,86
DJ Bravo,83
AT Rayudu,80
AR Patel,78
Ishan Kishan,77
SA Yadav,76
HH Pandya,73
JC Buttler,71
KC Sangakkara,65
SS Iyer,65
SPD Smith,64
DJ Hooda,63
MA Agarwal,61
GJ Maxwell,59
JM Sharma,58
BB McCullum,58
R Ashwin,53
Rashid Khan,53
YK Pathan,51
MK Tiwary,50
KH Pandya,49
N Pooran,49
M Vijay,49
SO Hetmyer,49
R Parag,48
Harbhajan Singh,48
PP Chawla,47
R Tewatia,47
SR Watson,47
KM Jadhav,45
Shubman Gill,45
R Vinay Kumar,45
DR Smith,44
RK Singh,43
EJG Morgan,42
V Sehwag,42
DPMD Jayawardene,41
KS Williamson,41
Mandeep Singh,40
B Kumar,40
UT Yadav,40
AD Russell,40
CH Morris,40
V Shankar,39
RD Gaikwad,39
Yuvraj Singh,39
KK Nair,37
H Klaasen,37
MS Bisla,37
JM Bairstow,36
JH Kallis,36
SN Thakur,36
Tilak Varma,36
IK Pathan,36
G Gambhir,36
RP Singh,35
Mohammed Siraj,35
HV Patel,35
TA Boult,35
RA Tripathi,35
SP Narine,33
JP Duminy,33
SP Goswami,33
YS Chahal,33
TH David,33
DT Christian,32
AJ Finch,32
PD Salt,32
MA Starc,31
Abdul Samad,31
D Padikkal,31
AK Markram,31
MM Sharma,31
R Bhatia,31
MC Henriques,30
CH Gayle,30
DJ Hussey,30
YBK Jaiswal,30
SS Tiwary,30
Mohammed Shami,29
A Mishra,29
SE Marsh,29
K Rabada,29
MP Stoinis,28
BJ Hodge,27
Ravi Bishnoi,27
MEK Hussey,27
M Rawat,27
HH Gibbs,27
N Rana,27
M Shahrukh Khan,26
JD Unadkat,26
Abhishek Sharma,26
CL White,26
R Dravid,26
SR Tendulkar,26
Z Khan,26
DW Steyn,26
VR Iyer,25
BA Stokes,25
SM Curran,25
STR Binny,24
MV Boucher,24
JP Faulkner,24
MM Ali,24
TM Dilshan,24
TG Southee,23
SB Jakati,23
JA Morkel,23
S Dube,23
SC Ganguly,23
DH Yagnik,23
I Sharma,23
PJ Cummins,22
YV Takawale,22
Sandeep Sharma,22
Shahbaz Ahmed,22
AD Mathews,22
Gurkeerat Singh,22
M Manhas,22
K Gowtham,21
SL Malinga,21
SW Billings,21
P Negi,21
M Kartik,21
S Badrinath,21
LR Shukla,21
A Symonds,21
RD Rickelton,20
R Powell,20
Dhruv Jurel,20
P Kumar,20
DS Kulkarni,20
KV Sharma,20
Shakib Al Hasan,20
RD Chahar,20
LS Livingstone,20
Anuj Rawat,20
Mohammad Nabi,20
Lalit Yadav,20
J Suchith,20
MG Johnson,19
J Botha,19
LRPL Taylor,19
A Manohar,19
A Nehra,19
T Stubbs,19
M Jansen,19
NLTC Perera,19
Shivam Mavi,18
A Badoni,18
Shashank Singh,18
KB Arun Karthik,18
GJ Bailey,18
RJ Harris,18
Rahmanullah Gurbaz,18
Ramandeep Singh,18
PP Shaw,18
JO Holder,17
PP Ojha,17
JJ Bumrah,17
M Kaif,17
Iqbal Abdulla,17
M Muralitharan,17
Y Venugopal Rao,16
CV Varun,16
Arshdeep Singh,16
SK Trivedi,16
MJ Santner,16
CJ Jordan,16
Kuldeep Yadav,16
Naman Dhir,16
R Dhawan,16
PR Shah,16
M Morkel,15
Washington Sundar,15
S Nadeem,15
N Saini,15
AM Nayar,15
TL Suman,15
DL Vettori,15
R Sathish,15
KK Cooper,15
B Lee,14
Harpreet Brar,14
M Vohra,14
Nithish Kumar Reddy,14
AA Jhunjhunwala,14
SK Warne,14
ML Hayden,14
MM Patel,14
KP Pietersen,14
DL Chahar,14
M Prasidh Krishna,14
N Wadhera,13
Avesh Khan,13
L Balaji,13
DB Ravi Teja,13
S Anirudha,13
C Green,13
DJG Sammy,13
SS Prabhudessai,13
LH Ferguson,13
CA Lynn,12
BCJ Cutting,12
MR Marsh,12
AB Dinda,12
SN Khan,12
MK Lomror,12
NM Coulter-Nile,12
T Natarajan,12
Abishek Porel,12
Harshit Rana,11
VG Arora,11
CJ Anderson,11
Y Nagar,11
R Ravindra,11
DR Sams,11
AS Raut,11
Kamran Akmal,11
PK Garg,11
DP Conway,11
SP Jackson,11
LMP Simmons,11
PJ Sangwan,11
WD Parnell,11
R Sharma,11
A Nortje,11
DJ Mitchell,11
B Sai Sudharsan,11
AS Roy,10
Bipul Sharma,10
MS Wade,10
JD Ryder,10
RN ten Doeschate,10
A Ashish Reddy,10
JJ Roy,10
DP Nannes,10
JP Inglis,10
Yash Dayal,10
WG Jacks,10
D Brevis,10
J Fraser-McGurk,10
RM Patidar,10
RR Rossouw,10
K Goel,10
UBT Chand,9
DB Das,9
Noor Ahmad,9
M Pathirana,9
AP Tare,9
FY Fazal,9
CM Gautam,9
KL Nagarkoti,9
Mukesh Kumar,9
E Lewis,9
Aman Hakim Khan,9
ST Jayasuriya,9
JDP Oram,9
A Kumble,9
D Wiese,8
RE van der Merwe,8
R Sai Kishore,8
LA Pomersbach,8
TU Deshpande,8
JC Archer,8
GH Vihari,8
Sachin Baby,8
OA Shah,8
